Classification,Common Name,Scientific Name,Population Trend,Assessment,Conservation Status,IUCN Link,Kingdom,Class
plantae — polypodiopsida,Maidenhair Fern,Adiantum capillus-veneris,Stable,Global,Least Concern,https://www.iucnredlist.org/species/164082/67770327,plantae,polypodiopsida
animalia — insecta,Lance-tipped Darner,Aeshna constricta,Stable,Global,Least Concern,https://www.iucnredlist.org/species/50959122/65394677,animalia,insecta
animalia — insecta,Lake Darner,Aeshna eremita,Stable,Global,Least Concern,https://www.iucnredlist.org/species/50959126/65836159,animalia,insecta
animalia — insecta,Variable Darner,Aeshna interrupta,Stable,Global,Least Concern,https://www.iucnredlist.org/species/50959132/65836164,animalia,insecta
animalia — insecta,Moorland Hawker,Aeshna juncea,Stable,Global,Least Concern,https://www.iucnredlist.org/species/165518/65835376,animalia,insecta
animalia — insecta,Paddle-tailed Darner,Aeshna palmata,Stable,Global,Least Concern,https://www.iucnredlist.org/species/164945/65821697,animalia,insecta
animalia — insecta,Persephone's Darner,Aeshna persephone,Stable,Global,Least Concern,https://www.iucnredlist.org/species/562/80695133,animalia,insecta
animalia — insecta,Zigzag Darner,Aeshna sitchensis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/50959145/65836174,animalia,insecta
animalia — insecta,Shadow Darner,Aeshna umbrosa,Stable,Global,Least Concern,https://www.iucnredlist.org/species/165055/65828540,animalia,insecta
plantae — liliopsida,Utah Agave,Agave utahensis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/115698677/116354603,plantae,liliopsida
plantae — liliopsida,Creeping Bent Grass,Agrostis stolonifera,Stable,Global,Least Concern,https://www.iucnredlist.org/species/164020/42383133,plantae,liliopsida
plantae — liliopsida,,Alisma triviale,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64263415/67728488,plantae,liliopsida
plantae — liliopsida,,Allium geyeri,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64263485/67728493,plantae,liliopsida
plantae — magnoliopsida,Grey Alder,Alnus incana,Stable,Global,Least Concern,https://www.iucnredlist.org/species/194472/2338986,plantae,magnoliopsida
plantae — liliopsida,Orange Foxtail,Alopecurus aequalis,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/164156/1025862,plantae,liliopsida
plantae — liliopsida,Tufted Foxtail,Alopecurus carolinianus,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64263649/67728498,plantae,liliopsida
plantae — liliopsida,Alpine Foxtail,Alopecurus magellanicus,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/58084855/58084864,plantae,liliopsida
animalia — amphibia,Western Tiger Salamander,Ambystoma mavortium,Stable,Global,Least Concern,https://www.iucnredlist.org/species/199970/196342549,animalia,amphibia
animalia — amphibia,Eastern Tiger Salamander,Ambystoma tigrinum,Stable,Global,Least Concern,https://www.iucnredlist.org/species/83293207/196342827,animalia,amphibia
plantae — magnoliopsida,,Ammannia robusta,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64263777/67728508,plantae,magnoliopsida
animalia — mammalia,White-tailed Antelope Squirrel,Ammospermophilus leucurus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/42452/115189458,animalia,mammalia
animalia — gastropoda,Mud Amnicola,Amnicola limosa,Stable,Global,Least Concern,https://www.iucnredlist.org/species/69615713/69632923,animalia,gastropoda
plantae — magnoliopsida,,Amorpha californica,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19892228/20005262,plantae,magnoliopsida
animalia — insecta,Western Red Damsel,Amphiagrion abbreviatum,Stable,Global,Least Concern,https://www.iucnredlist.org/species/51302894/65836659,animalia,insecta
plantae — liliopsida,Nevada bulrush,Amphiscirpus nevadensis,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64263809/67728513,plantae,liliopsida
animalia — insecta,Common Green Darner,Anax junius,Stable,Global,Least Concern,https://www.iucnredlist.org/species/165081/65831504,animalia,insecta
animalia — insecta,Giant Darner,Anax walsinghami,Stable,Global,Least Concern,https://www.iucnredlist.org/species/50959519/80684340,animalia,insecta
animalia — amphibia,Western Toad,Anaxyrus boreas,Decreasing,Global,Least Concern,https://www.iucnredlist.org/species/181488862/197445871,animalia,amphibia
animalia — amphibia,Great Plains Toad,Anaxyrus cognatus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/54612/196333146,animalia,amphibia
animalia — amphibia,Arizona Toad,Anaxyrus microscaphus,Decreasing,Global,Least Concern,https://www.iucnredlist.org/species/54709/56844919,animalia,amphibia
animalia — amphibia,Baird's Spotted Toad,Anaxyrus punctatus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/54739/53950671,animalia,amphibia
animalia — amphibia,Woodhouse's Toad,Anaxyrus woodhousii,Stable,Global,Least Concern,https://www.iucnredlist.org/species/54798/53951380,animalia,amphibia
animalia — bivalvia,Winged Floater,Anodonta nuttalliana,Decreasing,Global,Vulnerable,https://www.iucnredlist.org/species/91149898/114130670,animalia,bivalvia
animalia — insecta,Polyphemus Moth,Antheraea polyphemus,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/173004714/173004732,animalia,insecta
animalia — mammalia,Pronghorn,Antilocapra americana,Stable,Global,Least Concern,https://www.iucnredlist.org/species/1677/115056938,animalia,mammalia
animalia — mammalia,Pallid Bat,Antrozous pallidus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/1790/22129152,animalia,mammalia
animalia — reptilia,Spiny Softshell Turtle,Apalone spinifera,Stable,Global,Least Concern,https://www.iucnredlist.org/species/163451/161722123,animalia,reptilia
plantae — magnoliopsida,Wild Celery,Apium graveolens,Increasing,Global,Least Concern,https://www.iucnredlist.org/species/164203/13575099,plantae,magnoliopsida
animalia — gastropoda,Lance Aplexa,Aplexa elongata,Stable,Global,Least Concern,https://www.iucnredlist.org/species/69623954/69633063,animalia,gastropoda
animalia — amphibia,Green Frog,Aquarana clamitans,Stable,Global,Least Concern,https://www.iucnredlist.org/species/58578/193376512,animalia,amphibia
plantae — magnoliopsida,Graham's Columbine,Aquilegia grahamii,Unknown,Global,Endangered,https://www.iucnredlist.org/species/195184360/195184363,plantae,magnoliopsida
animalia — insecta,Great Spreadwing,Archilestes grandis,Increasing,Global,Least Concern,https://www.iucnredlist.org/species/49254284/65836134,animalia,insecta
animalia — insecta,,Argia alberta,Stable,Global,Least Concern,https://www.iucnredlist.org/species/165033/80688733,animalia,insecta
animalia — insecta,Blue-fronted Dancer,Argia apicalis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/164989/65824309,animalia,insecta
animalia — insecta,Emma's Dancer,Argia emma,Stable,Global,Least Concern,https://www.iucnredlist.org/species/51332230/65836664,animalia,insecta
animalia — insecta,Variable Dancer,Argia fumipennis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/51332246/65836669,animalia,insecta
animalia — insecta,Lavender Dancer,Argia hinei,Stable,Global,Least Concern,https://www.iucnredlist.org/species/51332278/80690064,animalia,insecta
animalia — insecta,,Argia lugens,Stable,Global,Least Concern,https://www.iucnredlist.org/species/164962/80692724,animalia,insecta
animalia — insecta,Powdered Dancer,Argia moesta,Stable,Global,Least Concern,https://www.iucnredlist.org/species/165038/65827364,animalia,insecta
animalia — insecta,Aztec Dancer,Argia nahuana,Stable,Global,Least Concern,https://www.iucnredlist.org/species/51332329/80681384,animalia,insecta
animalia — insecta,Blue-ringed Dancer,Argia sedula,Stable,Global,Least Concern,https://www.iucnredlist.org/species/51332337/65836674,animalia,insecta
animalia — insecta,Vivid Dancer,Argia vivida,Stable,Global,Least Concern,https://www.iucnredlist.org/species/51332354/65836679,animalia,insecta
animalia — insecta,Great Spangled Fritillary,Argynnis cybele,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/160901/860546,animalia,insecta
plantae — liliopsida,,Aristida purpurea,Stable,Global,Least Concern,https://www.iucnredlist.org/species/44392137/44461465,plantae,liliopsida
plantae — liliopsida,Giant Reed,Arundo donax,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/164340/1043245,plantae,liliopsida
plantae — magnoliopsida,Swamp Milkweed,Asclepias incarnata,Unknown,Global,Least Concern,https://www.iucnredlist.org/species/64264155/112961614,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus altus,Decreasing,Global,Endangered,https://www.iucnredlist.org/species/19892777/20008399,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus calycosus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19891964/20009751,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus castetteri,Stable,Global,Near Threatened,https://www.iucnredlist.org/species/19892208/20010100,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus cobrensis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19892240/20010462,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus coltonii,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19892442/20010808,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus cottamii,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19892983/20011546,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus crassicarpus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19891488/20011898,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus crotalariae,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19893114/20012267,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus didymocarpus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19892382/20012561,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus ensiformis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19892581/20013070,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus flexuosus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19892709/20013454,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus geyeri,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19892516/20013949,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus harrisonii,Unknown,Global,Near Threatened,https://www.iucnredlist.org/species/19892548/20014315,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus inyoensis,Stable,Global,Near Threatened,https://www.iucnredlist.org/species/19892575/20014804,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus lentiginosus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19892168/20015782,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus leucolobus,Decreasing,Global,Vulnerable,https://www.iucnredlist.org/species/19893094/20016264,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus miser,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19893117/20016896,plantae,magnoliopsida
plantae — magnoliopsida,Missouri Milkvetch,Astragalus missouriensis,Increasing,Global,Least Concern,https://www.iucnredlist.org/species/153743153/153954442,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus mollissimus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19892003/20017256,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus molybdenus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19891799/20017606,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus nuttallianus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19892274/20017957,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus oophorus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19892057/20018307,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus pachypus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19892692/20018770,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus piutensis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19891567/20016771,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus pubentissimus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19892093/20019919,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus sparsiflorus,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19891748/20021676,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus tener,Decreasing,Global,Endangered,https://www.iucnredlist.org/species/19892179/20022449,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus terminalis,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19892607/20022879,plantae,magnoliopsida
plantae — magnoliopsida,,Astragalus whitneyi,Stable,Global,Least Concern,https://www.iucnredlist.org/species/19892715/20024012,plantae,magnoliopsida
